drugId,name,effects,nature,molecularTargets,drugClass,status,source,brandNames,references
"HCM0001","NADOLOL","It reduces the heart rate, decreases the force of contraction of the heart muscle, helps to lower blood pressure, useful in the treatment of conditions such as hypertension, angina, and certain heart rhythm disorders. it causes the blood vessels to relax and widen, resulting in a decrease in peripheral vascular resistance.","Synthetic","Nadolol mainly targets beta-1 receptors in the heart and beta-2 receptors in blood vessels. It lowers heart rate by inhibiting the beta-1 receptors in the cardiac muscle. This causes the electrical conduction to slow down and the force of contraction to lessen, which lowers the heart rate and weakens each heartbeat.                                                                                                                                                                                                                                                    Blood arteries are made to relax and widen when nadolol inhibits the beta-2 receptors in those structures. Peripheral vascular resistance decreases as a result of this.","Beta-Blocker","This drug is FDA approved.","Synthesized compound","Corgard, Nadolol, Corzide, Apo-nadolol","Agrawal, K.C., Neeli, V.S., Upadhye, S.B. (1982). Nadolol: a new beta adrenoceptor antagonist. Clinical Pharmacology and Therapeutics, 31(4), 463-472; Weil, J.V., Chidsey, C.A. (1978). Plasma volumes in hypertensive patients treated with propranolol. The New England Journal of Medicine, 297(29), 1474-1477; Sherrid, M.V., Barac, I., McKenna, W.J., Elliott, P.M., Dickie, S., Chojnowska, L., Casey, S., Maron, B.J. (2005). Multicenter study of the efficacy and safety of disopyramide in obstructive hypertrophic cardiomyopathy. Journal of the American College of Cardiology, 45(8), 1251-1258; Maron B.J., Olivotto I., Bellone P., Conte M.R., Cecchi F., Flygenring B.P., Haas T.S., Udelson J.E. (2002). Clinical profile of stroke in 900 patients with hypertrophic cardiomyopathy. Journal of the American College of Cardiology, 39(2), 301-307; Taggart, N.W., Haglund, K.J. (1982). Nadolol and methyldopa in the treatment of hypertension: a double-blind comparison. Southern Medical Journal, 75(8), 929-932."
"HCM0002","PROPRANOLOL","Propranolol helps in cardiac muscle relaxation and enhances the diastolic filling of the ventricles. Patients with HCM may benefit from this by experiencing fewer symptoms like breathlessness. Propranolol lessens the degree of dynamic LVOT obstruction frequently occurringÃ‚Â with HCM by lowering heart rate and contractility. This enhances forward blood flow and reduces the pressure gradient. By preventing catecholamines from activating arrhythmogenic foci in HCM patients, propranolol aids in the prevention of aberrant cardiac rhythms. This protects from potentially fatal arrhythmias suchÃ‚Â as ventricular tachycardia or atrial fibrillation. Propranolol lessens the need for oxygen in the hypertrophied heart muscle in HCM by lowering heart rate. This can diminish ischemia brought on by a mismatch in supply and demand.","Synthetic","Being a non-selective beta blocker, propranolol inhibits both beta-1 and beta-2 receptors. However, its primary curative impact in HCM is mediated by beta-1 blockage. The majority of beta receptors in the heart are beta-1 receptor. Propranolol lessens chronotropic and inotropy by obstructing them. In HCM, GRK2 is overexpressed, which aggravates beta-adrenergic receptor dysfunction. The normalization of GRK2 levels by propranolol has been demonstrated to restore beta-adrenergic signaling. L-type calcium channels, which mediate calcium influx on excitation-contraction coupling, are blocked by propranolol. This lowers the intracellular calcium level, which results in less contractility. Propranolol can improve diastolic relaxation by increasing SERCA expression and activation. Propranolol alleviates the inhibitory effects and enhances calcium cycling through lowering phospholamban expression. MyPropranolol inhibits the expression of the myosin heavy chain gene, which lessens the hypercontractility of sarcomeres in HCM.","Beta-Blocker","This drug is FDA approved.","Synthesized compound","Inderal, Hemangeol, InnoPran XL, Wyeth-Ayerst propranolol, Bedranol SR, Deralin, Dociton, Sumial, Ciplar, Propranolol, Betablock, Betanol, Cara-Prop, Cardinol,  Cardioset, Hyppride-LA, Inderal-LA, Opinol, Oprinol, Propanol, Propranolol HCL","Bristow, M. R., Hershberger, R. E., Port, J. D., Gilbert, E. M., Sandoval, A., Rasmussen, R., ... & Feldman, A. M. (1989). Beta-adrenergic pathways in nonfailing and failing human ventricular myocardium. Circulation, 79(4), I12-I17; Bousser M. G., Welch K. M., et al. (1995). A controlled trial of propranolol in migraine prophylaxis. New England Journal of Medicine, 330(21), 1432-1433; Izadpanah A., Izadpanah A., et al. (2016). Propranolol versus corticosteroids in the treatment of infantile hemangioma: a systematic review and meta-analysis. Plastic and Reconstructive Surgery, 137(3), 601e-601e; McTavish D., Sorkin E. M. (1989). Propranolol: a review of its pharmacological properties and therapeutic use in hypertension and ischaemic heart disease. Drugs, 38(1), 19-76."
"HCM0003","ATENOLOL","It functions by preventing catecholamines like adrenaline from attaching to the heart's beta-1 receptors. In cardiomyocytes, this stops catecholamines from initiating the Gs protein-adenylyl cyclase-cAMP-PKA pathway. Heart rate, conduction velocity, relaxation time, and cardiac contractility are all reduced when this route is blocked. Blocking beta-1 signalling in HCM lessens the hyperdynamic contraction of cardiomyocytes brought on by mutations in sarcomere proteins. It enhances diastolic active relaxation, resulting in a decrease in left ventricular pressure. The dynamic left ventricular outflow tract (LVOT) blockage that contributes to HCM symptoms is lessened by the decreased contractility. Diastolic filling time is improved with a slower heart rate, which also lessens dyspnea and chest pain.","Synthetic","he most common beta receptor subtype in the heart, cardiac myocytes, are specifically targeted by atenolol and blocked. Atenolol's main mechanism of action is this.  Atenolol stops catecholamines from activating downstream Gs protein signalling pathways in cardiac cells by blocking 1ARs. As a result, less cAMP is produced and PKA is activated.  Action potential conduction is slowed by the decreased PKA activation, which also impacts ion channels such delayed rectifier potassium channels and L-type Ca2+ channels.  The hyperdynamic contraction of sarcomeres in HCM brought on by mutations in proteins like myosin heavy chain and troponin T is lessened by lower intracellular calcium levels.  In cardiomyocytes, inhibiting catecholamine stimulation may enhance mitochondrial respiration and lessen oxidative stress.","Beta-Blocker","This drug is FDA approved.","Synthesized compound","Not Available","Stoschitzky, K., Stoschitzky, G., Lercher, P., Klein, W., & Eber, B. (1999). Effect of beta-blockers on melatonin release. The International Journal of Cardiology, 68(2), 167-173; Mason, D. A., Moore, J. D., Green, S. A., & Liggett, S. B. (1999). A gain-of-function polymorphism in a G-protein coupling domain of the human ÃŽÂ²1-adrenergic receptor. Journal of Biological Chemistry, 274(18), 12670-12674; Cecchi, F., Olivotto, I., Montereggi, A., Squillatini, G., Dolara, A., & Maron, B. J. (1995). Prognostic value of non-sustained ventricular tachycardia and the potential role of amiodarone treatment in hypertrophic cardiomyopathy: assessment in an unselected non-referral based patient population. Heart, 73(3), 331-336; van Bortel, L. M., Fici, L., & Mascagni, F. (2008). Efficacy and tolerability of nebivolol compared with other antihypertensive drugs: a meta-analysis. American journal of cardiovascular drugs, 8(1), 35-44."
"HCM0004","METOPROLOL","Metoprolol selectively inhibits beta-1 adrenergic receptors. It stops catecholamines from attaching to beta-1 cardiomyocyte receptors. This prevents the generation of cAMP and the activation of downstream signalling pathways involving Gs proteins in cardiac cells. The signalling is lessened, which decreases blood pressure and lessens the force and frequency of heart muscle contraction. Metoprolol lessens the hyperdynamic left ventricular contraction brought on by sarcomere protein mutations in HCM patients. It enhances diastolic relaxation and filling and reduces the gradient along the left ventricular outflow tract (LVOT). Dyspnea, chest discomfort, and palpitations are all alleviated by the heart's reduced contractility and slower heart rate. In clinical studies, metoprolol was found to improve exercise tolerance and oxygen uptake in HCM patients. It might also decrease ventricular ectopy, which would have an antiarrhythmic effect.","Synthetic","Over 2 receptors, metoprolol preferentially inhibits beta-1 receptors. The heart's chronotropy and inotropy are decreased as a result. Metoprolol inhibits L-type calcium channels, reducing intracellular calbycium levels and reducing cellular contractility. There is some evidence that metoprolol can improve diastolic relaxation by increasing SERCA expression and activation. There is some evidence that metoprolol, like propranolol, can disinhibit SERCA through reducing phospholamban expression.","Beta-Blocker","This drug is FDA approved.","Synthesized compound","Not Available","Brodde, O.E. (1993). Beta-adrenoceptors in cardiac disease. Pharmacology & Therapeutics, 60(3), 405-430; Andersson, B., Waagstein, F., Jansson, S. (1975). Beneficial effects of long-term beta-blockade in congestive cardiomyopathy. British Heart Journal, 37(12), 1232-1236; Gilbert, E.M., Abraham, W.T., Olsen, S., Hattler, B., White, M., Mealy, P., Larrabee, P., Bristow, M.R. (1996). Comparative hemodynamic, left ventricular functional, and antiadrenergic effects of chronic treatment with metoprolol versus carvedilol in the failing heart. Circulation, 94(11), 2817-2825; Poole-Wilson P.A., Swedberg K., Cleland J.G., Di Lenarda A., Hanrath P., Komajda M., Lubsen J., Lutiger B., Metra M., Remme W.J., Torp-Pedersen C., Scherhag A., Skene A. (2003). Comparison of carvedilol and metoprolol on clinical outcomes in patients with chronic heart failure in the Carvedilol Or Metoprolol European Trial (COMET): randomised controlled trial. The Lancet, 362(9377), 7-13."
"HCM0005","CARVEDILOL","It lessens myocardial contractility and heart rate, which may assist lessen the strain on the heart. This results in better cardiac function and can lessen HCM symptoms like angina (chest discomfort), tiredness, and shortness of breath.","Synthetic","Blocks both beta-1 and beta-2 adrenergic receptors, resulting in a decreased heart rate and decreased force of contraction. blocks alpha-1 adrenergic receptors, which results in vasodilation of blood vessels and decreased peripheral vascular resistance.","Beta Blocker","This drug is FDA approved.","Synthesized compound","Coreg, Dilatrend,Carvil, Carloc, Carvelol, Carvid, Carvidon, Carvidex, Kreal, Carlocar, Cardivas, Carvelol, Arveda,Cadilol, Carlov,Carpro, Carveda, Carvel, Carvilol, Carvoloc, Cavidol, Cezar, Cuore, Curalov, Delaware, Dimitone, Hart, Hidilol, Normidilol, Otello, Tacar, Vadil, Vasocare, Vedicar, Xicard","Ruffolo, R. R., Gellai, M., Hieble, J. P., Willette, R. N., & Nichols, A. J. (1990). The pharmacology of carvedilol. European journal of clinical pharmacology, 38(2), S82-S88; Liu, X. K., Katchman, A., Ebert, S. N., Woo, A., & Woosley, R. L. (2012). The antihypertensive effect of carvedilol is maintained during coadministration with azithromycin. Journal of clinical pharmacology, 52(6), 857-864; Epstein, S. E., Rosing, D. R., Goldstein, S., Migdal, S., & Palacios, I. F. (1979). Verapamil: its potential for causing serious complications in patients with hypertrophic cardiomyopathy. Circulation, 60(2), 437-441; Elliott, P., McKenna, W., eds. (2004). Hypertrophic Cardiomyopathy: The Management of Hypertrophic Cardiomyopathy. London: Springer-Verlag; Bristow, M. R., Gilbert, E. M., Abraham, W. T., Adams, K. F., Fowler, M. B., Hershberger, R. E., ... & Narahara, K. A. (1996). Carvedilol produces dose-related improvements in left ventricular function and survival in subjects with chronic heart failure. Circulation, 94(11), 2807-2816."
"HCM0006","NEBIVOLOL","Nebivolol helps to improve the filling and emptying of the heart chambers by lowering heart rate, which can lessen symptoms like chest pain and shortness of breath.","Synthetic","The beta-1 adrenergic receptors in the heart are specifically blocked by nebivolol. The actions of adrenaline (epinephrine) and other stress hormones on the heart are mediated by these receptors. Nebivolol lowers the stimulatory signals that can cause an excessive heart muscle contraction in HCM by inhibiting these receptors.","Beta Blocker","This drug is FDA approved.","Synthesized compound","Bystolic, Nebilet, Nebivolo,l Nebilong, Nebicard, Nebicip, Nobiten, Lobivon, Nebilet, Hypoloc, Nobiten, Nervibeta, Byscard, Nebil, Nebix","Van Nueten, J.M., Dupont, A.G., Vertommen, C., Vanhoutte, P.M. (1998). Vascular effects of nebivolol in canine coronary circulation. Journal of Cardiovascular Pharmacology, 31(5), 813-818; Cockcroft, J.R., Chowienczyk, P.J., Brett, S.E., Chen, C.P., Dupont, A.G., Van Nueten, L., Wooding, S.J., Ritter, J.M. (1995). Nebivolol vasodilates human forearm vasculature: evidence for an L-arginine/NO-dependent mechanism. Journal of Pharmacology and Experimental Therapeutics, 274(3), 1067-1071; Edes, I., Gasior, Z., Wita, K. (2005). Effects of nebivolol on left ventricular function in elderly patients with chronic heart failure: results of the ENECA study. European Journal of Heart Failure, 7(4), 631-639; Celik, T., Iyisoy, A., Kursaklioglu, H., Kardesoglu, E., Kilic, S., Turhan, H., Yilmaz, M.B. (2006). Comparative effects of nebivolol and metoprolol on oxidative stress, insulin resistance, plasma adiponectin and soluble P-selectin levels in hypertensive patients. Journal of Hypertension, 24(3), 591-596."
"HCM0007","LABETALOL","By inhibiting the beta-adrenergic receptors in the heart, labetalol lowers heart rate. This facilitates a decrease in heart rate and enhances diastolic filling, enhancing blood flow and reducing symptoms like shortness of breath and chest pain.","Synthetic","The beta-1 adrenergic receptors in the heart are competitively bound to by labetalol, and they are blocked. Due to the inhibition of adrenaline's (epinephrine's) and other stress hormones' ability to bind to these receptors, cardiac contractility, heart rate, and myocardial oxygen demand are all decreased.","Alpha and Beta Blocker","This drug is FDA approved.","Synthesized compound","Normodyne, Trandate, Labetalol, Hybeta, Adelat, Labetal, Labetalol-ratiopharm, Labetalol, Hameln, Tedral, Labetalol Sandoz, Labesit, Lotensin","Brodie, B. R., Grossman, W., Mann, T., & McLaurin, L. P. (1977). Effects of sodium nitroprusside and hydralazine on left ventricular diastolic pressure-volume relations. The Journal of clinical investigation, 59(1), 59-68; Lund-Johansen, P. (1980). Hemodynamic effects of labetalol: observations during long-term therapy of hypertension. Drugs, 19 Suppl 1, 21-25; Bakris, G. L., Fonseca, V., Katholi, R. E., McGill, J. B., Messerli, F. H., Phillips, R. A., ... & Anderson, R. J. (2004). Metabolic effects of carvedilol vs metoprolol in patients with type 2 diabetes mellitus and hypertension: a randomized controlled trial. JAMA, 292(18), 2227-2236; Sharma, A. B., Voelker, D. J., Aronow, W. S., Sharma, S., & Chandra, N. (2019). Labetalol versus nicardipine for acute treatment of severe hypertension. BMC research notes, 12(1), 1-4."
"HCM0008","ACEBUTALOL","Acebutolol inhibits the heart's beta-adrenergic receptors in order to operate. As a result, it lessens the heart's vulnerability to the damaging effects of stress chemicals like epinephrine and adrenaline. This causes the heart rate to drop, which can aid HCM sufferers with symptoms including shortness of breath and chest pain.","Synthetic","A specific beta-1 adrenergic receptor blocker, acebutolol inhibits these receptors. It binds to and inhibits these cardiac receptors in a competitive manner. As a result, it prevents adrenaline (epinephrine) and other stress hormones from attaching to these receptors. As a result, the heart's response to sympathetic stimulation is lessened.","Beta Blocker","This drug is FDA approved.","Synthesized compound","Sectral, Acebutolol, Prent, Acebutolol Teva, Acekard, Acenorm, Secural, Bloxan, Abutol, Acebutolol Edigen, Aceloc","Wong, E.T., Frohlich, E.D. (1980). Hemodynamic effects of acebutolol. The American Journal of Cardiology, 46(3), 379-386; Van Brummelen, P., Man in Ã¢â‚¬Ëœt Veld, A.J., Schalekamp, M.A.D.H. (1980). Hemodynamic changes during long-term acebutolol treatment in essential hypertension. Clinical Pharmacology and Therapeutics, 27(3), 336Ã¢â‚¬â€œ342; HÃƒÂ¼ckel, M., Katz, N. (1984). Clinical efficacy and tolerability of acebutolol versus metoprolol in patients with coronary heart disease. International Journal of Clinical Pharmacology, Therapy, and Toxicology, 22(3), 132-138; Neutel, J. M., Smith, D. H., Gradman, A. H. (1991). Differing neurohormonal responses to acebutolol and atenolol. American Heart Journal, 122(4), 1194-1198."
"HCM0009","TIMOLOL","Timolol is a member of the beta-blocker drug subclass. The heart's beta-adrenergic receptors are blocked, which lessens the impact of adrenaline and other stress hormones. Timolol can assist in managing HCM-related symptoms such asÃ‚Â chest discomfort and palpitations by lowering heart rate.","Synthetic","By blocking beta-1 adrenergic receptors, it inhibits the stimulatory effects of adrenaline on the heart.","Beta Blocker","This drug is FDA approved.","Synthesized compound","Timoptic, Timolol, Nyogel, Aristospan, Timacar, Timolol Bausch Lomb, Timo-Comod, TimoHexal, Timolol Actavis, Timolol Sandoz, Arumel, Timoftol","Fitzgerald, J.D., O'Donnell, S.R., Mullins, J.J., Davies, D.S., Fraser, R. (1986). Pharmacodynamic effects of intravenous timolol in man. British Journal of Clinical Pharmacology, 21(1), 27-35; Wilson, J.R., Kapoor, S. (1993). Contribution of prostaglandins to exercise-induced vasodilation in humans. The American Journal of Physiology, 265(1 Pt 2), H171-5; Kario, K., Matsuo, T., Kobayashi, H., Yamamoto, K., Shimada, K. (1996). Silent cerebral infarction is associated with exaggerated blood pressure variability during exercise testing. Hypertension, 27(3 Pt 2), 734-738; Reidenberg, M.M., Thompson, P.D., Cutler, R.E., Liff, J.M., Lorenzo, B., Strom, B.L. (1993). Comparison of tolerance to beta-blockers in asthmatic patients. Chest, 103(4), 1115-1119."
"HCM0010","SOTALOL","Sotalol's antiarrhythmic characteristics have an impact on HCM. It assists in controlling and avoiding aberrant cardiac rhythms by regulating the electrical activity of the heart. Arrhythmia risk is raised by the thickening of the heart muscle in HCM. Sotalol aids in the stabilisation of the electrical signals sent by the heart, lowering the likelihood of irregular heartbeats and enhancing HCM symptoms.","Synthetic","Beta-1 adrenergic receptors in the heart are particularly blocked by sotalol. By doing this, it lessens the heart's exposure to the stress chemicals epinephrine and adrenaline.","Beta Blocker and Antiarrythmic","This drug is FDA approved.","Synthesized compound","Betapace, Sotacor, Sotalex, Sotagard, Sotahexal","Chamberlain, D.A., Turner, P., Sneddon, J.M. (1984). Effects of sotalol on ventricular arrhythmias and electrocardiographic intervals in patients with coronary artery disease. The American Journal of Cardiology, 53(12), 56C-59C; Hodeige, D., Heyndrickx, J.P., Chatelain, P., Manning, A. (1991). Sotalol-induced torsades de pointes and QT prolongation: differential effects of intravenous calcium, atropine and ventricular pacing. European Heart Journal, 12(2), 169-172; Waldo, A.L., Camm, A.J., deRuyter, H., Friedman, P.L., MacNeil, D.J., Pauls, J.F., Pitt, B., Pratt, C.M., Schwartz, P.J., Veltri, E.P. (1996). Effect of d-sotalol on mortality in patients with left ventricular dysfunction after recent and remote myocardial infarction. The Lancet, 348(9019), 7-12; Bergmann, J.F., Bidat, E., Mahagne, M.H. (1995). Evaluation of the QT interval during sotalol treatment and occurrence of torsades de pointes. European Heart Journal, 16 Suppl F, 38-42."
